data;

param v : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 :=
    1 1  1  1  1  -1  1  1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1 
    2 -1  -1  1  -1  1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1 
    3 1  1  -1  -1  -1  -1  -1  -1  1  -1  -1  -1  -1  -1  -1  -1  -1  -1 
    4 1  1  1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1 
    5 1  1  1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1 
    6 1  -1  -1  1  -1  1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1 
    7 1  -1  -1  1  -1  -1  -1  -1  1  -1  -1  -1  -1  -1  -1  -1  -1  -1 
    8 -1  -1  1  -1  -1  -1  -1  1  1  -1  -1  1  -1  -1  1  -1  -1  -1 
    9 -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1 
    ;

param g := 9;

param njeux := 18;

param qttjeux := 
    1 3
    2 3
    3 3
    4 3
    5 3
    6 1
    7 3
    8 1
    9 3
    10 1
    11 3
    12 2
    13 3
    14 3
    15 3
    16 3
    17 3
    18 2;
end;
